epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1948.93,0.5147,1.1248,0.45868,1.01478,0.91408,0.63866,0.74432,0.5603,0.92009,0.64286,0.74157,0.46195,0.92395,2.08005,0.68013,1.22488,0.0001684,0.0001684,0.0001684
86,1968.68,0.51555,1.11346,0.4621,1.01546,0.83035,0.6992,0.75031,0.55945,0.90309,0.64286,0.74288,0.46512,0.90504,2.05599,0.67906,1.20996,0.0001585,0.0001585,0.0001585
87,1991.9,0.52786,1.17091,0.45554,1.0147,0.87883,0.66387,0.75043,0.55826,0.89203,0.65546,0.74144,0.46384,0.93576,2.06588,0.68827,1.23534,0.0001486,0.0001486,0.0001486
88,2023.81,0.51208,1.13192,0.45864,1.00664,0.85875,0.68908,0.75032,0.56839,0.86316,0.68908,0.74012,0.4686,0.92395,2.0727,0.67468,1.22005,0.0001387,0.0001387,0.0001387
89,2053.41,0.50081,1.0753,0.44329,0.99985,0.89122,0.64706,0.74687,0.56213,0.89122,0.64706,0.73496,0.46245,0.92188,2.07893,0.68352,1.22033,0.0001288,0.0001288,0.0001288
90,2072.9,0.51096,1.14792,0.45295,1.01306,0.85883,0.66807,0.74719,0.56068,0.86343,0.67227,0.73649,0.45693,0.93114,2.06091,0.69517,1.22873,0.0001189,0.0001189,0.0001189
91,2136.43,1.06528,2.16149,0.86707,1.43756,0.84575,0.6681,0.73209,0.52804,0.8481,0.67647,0.73076,0.43667,0.97093,2.11577,0.75168,1.27164,0.000109,0.000109,0.000109
92,2155.82,0.97501,2.08279,0.81403,1.33115,0.93834,0.63944,0.7591,0.56084,0.95116,0.64706,0.75378,0.45859,0.94176,2.09935,0.66165,1.24508,9.91e-05,9.91e-05,9.91e-05
93,2174.88,0.94999,2.02692,0.76285,1.31949,0.89048,0.69748,0.77018,0.57296,0.93041,0.68487,0.76209,0.47411,0.91265,2.02969,0.63764,1.21792,8.92e-05,8.92e-05,8.92e-05
94,2194.02,0.94965,1.98454,0.71856,1.31614,0.9566,0.64834,0.76154,0.57382,0.9566,0.64834,0.75764,0.477,0.88973,2.01369,0.6295,1.2038,7.93e-05,7.93e-05,7.93e-05
95,2213.26,0.92209,1.95522,0.71681,1.28217,0.83735,0.72689,0.76191,0.57852,0.9305,0.65126,0.75675,0.4762,0.8869,2.02376,0.62814,1.20214,6.94e-05,6.94e-05,6.94e-05
96,2232.26,0.89967,1.95418,0.70799,1.26371,0.82859,0.7109,0.76323,0.57467,0.83768,0.71429,0.75621,0.47319,0.89052,2.01546,0.63399,1.19676,5.95e-05,5.95e-05,5.95e-05
97,2251.29,0.91516,1.93878,0.7237,1.28607,0.93336,0.66387,0.76617,0.58302,0.93273,0.65966,0.75659,0.47652,0.89729,1.98925,0.61629,1.19529,4.96e-05,4.96e-05,4.96e-05
98,2270.44,0.89499,1.94453,0.69933,1.24384,0.81691,0.73112,0.7684,0.57978,0.8123,0.72732,0.75759,0.47972,0.89127,1.98759,0.60391,1.18707,3.97e-05,3.97e-05,3.97e-05
99,2289.5,0.89416,1.94413,0.67816,1.2643,0.80991,0.7395,0.77142,0.5833,0.80531,0.73529,0.76319,0.48463,0.87947,1.96635,0.59467,1.18038,2.98e-05,2.98e-05,2.98e-05
100,2308.57,0.90256,1.93879,0.69082,1.26861,0.8809,0.68369,0.77028,0.58743,0.8809,0.68369,0.7615,0.48172,0.86494,1.95803,0.59249,1.16459,1.99e-05,1.99e-05,1.99e-05
